epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1638.29,0.7249,2.1194,1.16865,0.93321,0.81329,0.89391,0.71174,0.70242,1.71692,0.97793,0.000332752,0.000332752,0.000332752
2,3305.56,0.66306,1.25239,1.09694,0.89962,0.80547,0.88299,0.7323,0.61144,1.16962,0.85813,0.000633114,0.000633114,0.000633114
3,4882.55,0.64039,1.00848,1.07981,0.89043,0.84727,0.91544,0.78934,0.56089,0.7916,0.83102,0.000900476,0.000900476,0.000900476
4,6460.45,0.60446,0.86777,1.05865,0.90991,0.869,0.92813,0.79682,0.56778,0.64653,0.81406,0.0008515,0.0008515,0.0008515
5,8060.37,0.57304,0.75463,1.03779,0.96596,0.9272,0.96593,0.83217,0.54019,0.55999,0.81608,0.000802,0.000802,0.000802
6,9643.71,0.5298,0.66841,1.01026,0.97719,0.91137,0.96795,0.82535,0.53676,0.49602,0.80188,0.0007525,0.0007525,0.0007525
7,11223.9,0.50542,0.61144,0.99582,0.95988,0.92968,0.97358,0.87435,0.43181,0.42472,0.73557,0.000703,0.000703,0.000703
8,12799.1,0.49037,0.56499,0.98125,0.93478,0.94608,0.97599,0.87955,0.44049,0.40324,0.72003,0.0006535,0.0006535,0.0006535
9,14371.8,0.47501,0.51996,0.97319,0.93261,0.96906,0.97989,0.87601,0.41304,0.36149,0.71124,0.000604,0.000604,0.000604
10,15942.7,0.44741,0.48777,0.95948,0.98576,0.95352,0.98498,0.89011,0.37641,0.32683,0.67455,0.0005545,0.0005545,0.0005545
11,17498.2,0.43228,0.37618,0.92858,0.9846,0.95425,0.98052,0.88794,0.39854,0.34962,0.67624,0.000505,0.000505,0.000505
12,19048.6,0.42217,0.33398,0.9194,0.97165,0.91196,0.98079,0.89822,0.41122,0.32202,0.69194,0.0004555,0.0004555,0.0004555
13,20597.9,0.40101,0.31006,0.90194,0.96945,0.96787,0.98475,0.89465,0.39334,0.31123,0.67914,0.000406,0.000406,0.000406
14,22147,0.3811,0.29407,0.89627,0.96616,0.9756,0.98406,0.89412,0.37907,0.30545,0.66348,0.0003565,0.0003565,0.0003565
15,23695.8,0.35856,0.26703,0.88638,0.97366,0.96758,0.98599,0.90202,0.36438,0.29709,0.64632,0.000307,0.000307,0.000307
16,25243.2,0.34595,0.25482,0.87796,0.97,0.97752,0.99092,0.90364,0.33913,0.2637,0.64035,0.0002575,0.0002575,0.0002575
17,26793.7,0.33217,0.23167,0.87058,0.96914,0.97406,0.98964,0.91135,0.33273,0.2438,0.62297,0.000208,0.000208,0.000208
18,28341.9,0.31941,0.21959,0.86741,0.97942,0.98325,0.9897,0.90285,0.33704,0.25317,0.6296,0.0001585,0.0001585,0.0001585
19,29889.2,0.30418,0.20776,0.86059,0.97026,0.98062,0.98932,0.9099,0.33164,0.25228,0.63179,0.000109,0.000109,0.000109
20,31437,0.28957,0.19414,0.85355,0.97032,0.98794,0.99169,0.91803,0.32625,0.25227,0.63089,5.95e-05,5.95e-05,5.95e-05
