epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1227.64,0.78,2.38673,1.20778,0.85787,0.70933,0.79992,0.60798,0.79591,1.85843,1.01774,0.000332577,0.000332577,0.000332577
2,2461.43,0.73068,1.48349,1.14942,0.73158,0.79598,0.82562,0.64787,0.79,1.66074,1.02569,0.000632948,0.000632948,0.000632948
3,3807.04,0.71252,1.23655,1.12919,0.85693,0.69536,0.80786,0.62546,0.79059,1.2205,1.02675,0.000900319,0.000900319,0.000900319
4,5093.88,0.68031,1.04471,1.10325,0.94348,0.84334,0.92224,0.78914,0.58105,0.8144,0.84636,0.0008515,0.0008515,0.0008515
5,6379.49,0.64055,0.91569,1.08887,0.91839,0.87798,0.91858,0.78346,0.59845,0.69592,0.85576,0.000802,0.000802,0.000802
6,7655.84,0.58617,0.80372,1.05048,0.95628,0.91149,0.95279,0.8245,0.52587,0.63361,0.79663,0.0007525,0.0007525,0.0007525
7,8934.24,0.56849,0.72387,1.0412,0.97163,0.90477,0.95951,0.81086,0.51576,0.51808,0.77306,0.000703,0.000703,0.000703
8,10192.9,0.53736,0.66645,1.02304,0.95735,0.90718,0.9514,0.8282,0.51027,0.50419,0.77145,0.0006535,0.0006535,0.0006535
9,11429.3,0.52172,0.64746,1.00786,0.95077,0.92739,0.96094,0.83818,0.46369,0.45485,0.74913,0.000604,0.000604,0.000604
10,12664.2,0.50168,0.60033,0.99801,0.96966,0.9426,0.97632,0.87065,0.49623,0.48062,0.7595,0.0005545,0.0005545,0.0005545
11,13886.5,0.485,0.46961,0.95946,0.96556,0.9447,0.97325,0.86361,0.44024,0.43068,0.72017,0.000505,0.000505,0.000505
12,15105.1,0.46099,0.41088,0.94619,0.95436,0.94704,0.97055,0.86067,0.43295,0.40703,0.70636,0.0004555,0.0004555,0.0004555
13,16322.4,0.43832,0.37184,0.92775,0.9538,0.96658,0.97819,0.88109,0.42676,0.36685,0.706,0.000406,0.000406,0.000406
14,17540.3,0.42326,0.34996,0.92335,0.96351,0.95147,0.9712,0.87897,0.39374,0.36668,0.68527,0.0003565,0.0003565,0.0003565
15,18757.2,0.40251,0.32609,0.90693,0.96335,0.96496,0.98371,0.87974,0.38744,0.33284,0.67378,0.000307,0.000307,0.000307
16,19971.3,0.39089,0.30719,0.90317,0.94406,0.9751,0.98467,0.90408,0.35322,0.30702,0.67255,0.0002575,0.0002575,0.0002575
17,21186,0.37102,0.28508,0.88922,0.95197,0.97409,0.98646,0.90872,0.36068,0.28853,0.66079,0.000208,0.000208,0.000208
18,22401.4,0.3572,0.26747,0.88482,0.96681,0.97478,0.98819,0.91036,0.3554,0.29337,0.64937,0.0001585,0.0001585,0.0001585
19,23615.2,0.33559,0.24464,0.87053,0.96296,0.9686,0.98689,0.91214,0.33633,0.2781,0.63264,0.000109,0.000109,0.000109
20,24846.6,0.32757,0.23579,0.86912,0.96761,0.97278,0.98887,0.91368,0.3316,0.2657,0.63313,5.95e-05,5.95e-05,5.95e-05
