epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1448.94,0.80388,2.36967,1.22043,0.72012,0.62808,0.75587,0.56579,0.77346,2.01647,0.99342,0.000332676,0.000332676,0.000332676
2,2868.99,0.75569,1.5576,1.17028,0.88246,0.71074,0.83095,0.65488,0.76127,1.43191,1.0659,0.000633042,0.000633042,0.000633042
3,4281.24,0.73319,1.23212,1.1376,0.87112,0.83298,0.87809,0.71352,0.70695,1.03646,0.96723,0.000900408,0.000900408,0.000900408
4,5692.76,0.68154,1.04296,1.10675,0.83566,0.86084,0.92368,0.76598,0.58192,0.74936,0.85096,0.0008515,0.0008515,0.0008515
5,7101.17,0.65295,0.93148,1.09377,0.92233,0.88316,0.9285,0.78594,0.55574,0.70408,0.85564,0.000802,0.000802,0.000802
6,8511.45,0.62353,0.84369,1.06961,0.95902,0.86288,0.94883,0.82663,0.52668,0.54486,0.79567,0.0007525,0.0007525,0.0007525
7,9921.24,0.60395,0.77397,1.05336,0.97809,0.8858,0.94726,0.79809,0.56698,0.59249,0.84131,0.000703,0.000703,0.000703
8,11469.3,0.55988,0.71793,1.03046,0.95661,0.91622,0.95929,0.84214,0.49796,0.47744,0.7789,0.0006535,0.0006535,0.0006535
9,12954.6,0.54954,0.67111,1.02373,0.93746,0.93773,0.96547,0.84686,0.47463,0.45172,0.76371,0.000604,0.000604,0.000604
10,14494.1,0.51967,0.62336,1.0062,0.96381,0.9415,0.96728,0.85217,0.45349,0.40396,0.73476,0.0005545,0.0005545,0.0005545
11,16035.1,0.5154,0.48936,0.97785,0.95189,0.924,0.96605,0.85994,0.43218,0.45028,0.71127,0.000505,0.000505,0.000505
12,17677,0.49053,0.43842,0.95469,0.97425,0.95023,0.97977,0.87621,0.41978,0.37373,0.70108,0.0004555,0.0004555,0.0004555
13,19317.2,0.47138,0.40024,0.94334,0.95021,0.97565,0.97895,0.86631,0.42424,0.37418,0.69561,0.000406,0.000406,0.000406
14,20953.5,0.45229,0.38884,0.93219,0.96328,0.96183,0.98772,0.87153,0.41573,0.34781,0.68379,0.0003565,0.0003565,0.0003565
15,22543.8,0.42737,0.34886,0.91829,0.96288,0.97893,0.98915,0.88679,0.39979,0.31408,0.68548,0.000307,0.000307,0.000307
16,23963.6,0.41517,0.33041,0.91025,0.98355,0.94054,0.9852,0.90089,0.35695,0.31052,0.65881,0.0002575,0.0002575,0.0002575
17,25379.9,0.39295,0.305,0.90094,0.97595,0.98614,0.99177,0.91474,0.3492,0.2715,0.63903,0.000208,0.000208,0.000208
18,26796,0.37981,0.28659,0.89094,0.97993,0.97336,0.98815,0.90626,0.35113,0.29201,0.65247,0.0001585,0.0001585,0.0001585
19,28214.1,0.35913,0.26597,0.87942,0.97568,0.98988,0.99059,0.92066,0.32383,0.25496,0.62066,0.000109,0.000109,0.000109
20,29627.7,0.34244,0.24834,0.87202,0.97942,0.98295,0.98991,0.9167,0.32558,0.25035,0.62324,5.95e-05,5.95e-05,5.95e-05
