epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,653.936,1.08164,3.88313,1.32302,0.54375,0.55993,0.55384,0.38762,0.73171,17.2352,0.96097,0.000368394,0.000368394,0.000368394
2,1294.72,1.07261,2.86726,1.28342,0.46883,0.51904,0.52059,0.36778,0.90172,15.9242,1.08645,0.000702161,0.000702161,0.000702161
3,1908.59,1.11584,2.5547,1.31265,0.71452,0.70874,0.75843,0.55783,0.78474,10.2436,1.07402,0.000999264,0.000999264,0.000999264
4,2479.55,1.02024,1.96512,1.23812,0.82924,0.70947,0.76102,0.59532,0.73308,7.01302,1.00658,0.000946016,0.000946016,0.000946016
5,3046.94,1.01455,1.67037,1.23094,0.71819,0.62075,0.7006,0.5496,0.75341,6.47983,0.99557,0.000891022,0.000891022,0.000891022
6,3610.91,0.92586,1.4716,1.18606,0.93093,0.74949,0.86025,0.67972,0.71936,3.79179,1.00951,0.000836027,0.000836027,0.000836027
7,7843.82,0.86194,1.26134,1.15101,0.85263,0.79682,0.87763,0.71432,0.7023,3.46927,1.00469,0.000781033,0.000781033,0.000781033
8,8407.67,0.80722,1.14594,1.11878,0.92867,0.84229,0.8865,0.74721,0.64921,3.33347,0.93262,0.000726038,0.000726038,0.000726038
9,8970.57,0.78947,1.09403,1.11286,0.93879,0.84707,0.92228,0.77183,0.55021,2.18749,0.85138,0.000671044,0.000671044,0.000671044
10,12260.6,0.71057,0.89829,1.0482,0.92731,0.87388,0.91617,0.80387,0.65573,2.04283,1.00218,0.000616049,0.000616049,0.000616049
11,12902.9,0.65036,0.88666,1.02288,0.90908,0.85289,0.93023,0.78117,0.57119,2.01395,0.89846,0.000561055,0.000561055,0.000561055
12,13549.3,0.64809,0.82138,0.99781,0.94243,0.89829,0.94053,0.819,0.54299,2.62538,0.89462,0.00050606,0.00050606,0.00050606
13,14201.8,0.62043,0.77031,1.00923,0.94033,0.93527,0.94511,0.83154,0.52733,1.35715,0.86781,0.000451066,0.000451066,0.000451066
14,14853.3,0.58825,0.70805,0.97969,0.95737,0.88375,0.93916,0.8186,0.50061,1.88786,0.86508,0.000396071,0.000396071,0.000396071
15,15497.6,0.56053,0.61742,0.95489,0.97221,0.89151,0.94081,0.82763,0.5141,1.27975,0.89648,0.000341077,0.000341077,0.000341077
16,16128.2,0.51609,0.55669,0.92549,0.97528,0.92341,0.95859,0.86356,0.44287,1.08533,0.82335,0.000286083,0.000286083,0.000286083
17,16782.7,0.50801,0.52904,0.92517,0.96492,0.90985,0.95222,0.85514,0.47292,1.08987,0.83736,0.000231088,0.000231088,0.000231088
18,17404.2,0.47351,0.51366,0.89662,0.95959,0.93918,0.96047,0.87278,0.43186,0.91984,0.8167,0.000176094,0.000176094,0.000176094
19,17976.3,0.453,0.48569,0.90403,0.97693,0.92188,0.96287,0.86903,0.44482,0.91624,0.8053,0.000121099,0.000121099,0.000121099
20,18539.2,0.45254,0.47467,0.90375,0.95864,0.92977,0.96192,0.88057,0.40269,0.9049,0.77789,6.61045e-05,6.61045e-05,6.61045e-05
