epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,550.101,1.13907,5.61965,1.47086,0.55428,0.29274,0.3027,0.2173,1.45795,23.8351,1.67086,0.000368394,0.000368394,0.000368394
2,1089.4,1.24142,4.66669,1.50861,0.48245,0.39118,0.3658,0.20395,1.72865,17.3045,1.85825,0.000665594,0.000665594,0.000665594
3,1624.68,1.31564,3.75425,1.52448,0.59799,0.48436,0.5499,0.38244,1.50774,10.6024,1.57754,0.000889467,0.000889467,0.000889467
4,2158.87,1.29613,2.79114,1.51249,0.71075,0.4835,0.59024,0.39786,1.57512,7.64811,1.59605,0.000781033,0.000781033,0.000781033
5,2693.06,1.13831,2.24755,1.39725,0.74818,0.66943,0.69794,0.4756,1.07125,5.03326,1.2479,0.000671044,0.000671044,0.000671044
6,3229.21,0.98832,1.82149,1.282,0.81802,0.71373,0.79949,0.62071,0.97544,4.10988,1.17672,0.000561055,0.000561055,0.000561055
7,3762.33,0.88975,1.55648,1.19283,0.81844,0.79719,0.84554,0.63625,0.95698,3.22021,1.12949,0.000451066,0.000451066,0.000451066
8,4295.06,0.80966,1.23704,1.13865,0.8739,0.83143,0.86764,0.71356,0.82726,2.7079,1.02974,0.000341077,0.000341077,0.000341077
9,4827.81,0.70969,1.12207,1.07977,0.88545,0.86819,0.91046,0.77951,0.71547,2.50058,0.97254,0.000231088,0.000231088,0.000231088
10,5358.47,0.66859,1.06609,1.05043,0.91283,0.85455,0.91222,0.77944,0.73554,2.2615,0.95768,0.000121099,0.000121099,0.000121099
