epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.039,1.29679,5.14101,1.45381,0.00178,0.82273,0.14079,0.10919,0.93437,18.2188,1.08434,0.00028886,0.00028886,0.00028886
2,231.009,1.24384,4.7494,1.40074,0.00312,0.79889,0.10053,0.06233,1.15766,19.3772,1.26635,0.000559683,0.000559683,0.000559683
3,344.476,1.32434,4.06494,1.4456,0.78111,0.03841,0.10936,0.06681,1.36531,21.1252,1.46167,0.000800809,0.000800809,0.000800809
4,457.308,1.40499,4.20115,1.48426,0.81551,0.15128,0.18309,0.11859,1.4062,22.2173,1.60199,0.000946016,0.000946016,0.000946016
5,575.527,1.52553,3.99576,1.54862,0.511,0.14635,0.10203,0.04559,1.59247,24.5197,1.86921,0.000891022,0.000891022,0.000891022
6,693.942,1.48078,4.02921,1.54281,0.61982,0.17272,0.20197,0.13523,1.27493,20.9517,1.40002,0.000836027,0.000836027,0.000836027
7,810.21,1.37103,3.67215,1.43648,0.44159,0.19561,0.20116,0.13131,1.33898,20.5781,1.5525,0.000781033,0.000781033,0.000781033
8,922.027,1.24939,5.64236,1.34257,0.74536,0.17664,0.24987,0.16223,1.16552,17.4548,1.30105,0.000726038,0.000726038,0.000726038
9,1035.24,1.29694,3.42838,1.43706,0.65627,0.25923,0.31087,0.21107,1.0964,23.6409,1.29277,0.000671044,0.000671044,0.000671044
10,1148.83,1.23462,3.29336,1.38237,0.45361,0.34089,0.32746,0.23714,0.97932,17.8863,1.15481,0.000616049,0.000616049,0.000616049
11,1259.14,1.11363,6.11909,1.32268,0.77456,0.33019,0.42722,0.29078,1.00081,16.7818,1.24188,0.000561055,0.000561055,0.000561055
12,1370.86,1.14958,4.45761,1.33153,0.57303,0.31671,0.29558,0.19462,1.15382,15.5285,1.36766,0.00050606,0.00050606,0.00050606
13,1485.47,1.1401,4.22306,1.31861,0.50876,0.50679,0.37804,0.25035,1.17341,37.3993,1.3803,0.000451066,0.000451066,0.000451066
14,1595.33,1.07172,4.13548,1.2123,0.80173,0.38469,0.50013,0.37729,0.97457,21.6382,1.2566,0.000396071,0.000396071,0.000396071
15,1706.04,1.04784,3.89731,1.26656,0.84198,0.4226,0.4862,0.34915,0.98673,14.8933,1.1851,0.000341077,0.000341077,0.000341077
16,1816.32,1.01386,3.86051,1.24233,0.68069,0.53452,0.57009,0.40299,0.91029,14.0306,1.12699,0.000286083,0.000286083,0.000286083
17,1926.51,0.94265,5.17215,1.1597,0.76465,0.58398,0.62622,0.45127,0.82715,13.6087,1.05618,0.000231088,0.000231088,0.000231088
18,2037,0.83712,3.53859,1.09037,0.79428,0.58661,0.64489,0.46716,0.80379,13.258,1.04752,0.000176094,0.000176094,0.000176094
19,2146.98,0.92819,3.75763,1.18024,0.78389,0.59639,0.6588,0.50106,0.82235,13.2198,1.04831,0.000121099,0.000121099,0.000121099
20,2257.28,0.85406,3.17218,1.09674,0.76981,0.6563,0.67234,0.52012,0.85748,13.3072,1.09226,6.61045e-05,6.61045e-05,6.61045e-05
