epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,618.208,1.08651,3.93214,1.32478,0.55597,0.39022,0.41773,0.29006,0.80033,16.3492,0.96322,0.000368394,0.000368394,0.000368394
2,1223.13,1.09536,2.87091,1.27554,0.42095,0.45953,0.4496,0.29546,0.88554,14.2471,1.05715,0.000702161,0.000702161,0.000702161
3,1833.37,1.12016,2.53427,1.30338,0.65771,0.50922,0.58225,0.40545,0.96984,19.6043,1.15516,0.000999264,0.000999264,0.000999264
4,2408.17,1.06142,2.0446,1.26698,0.828,0.71846,0.79926,0.59279,0.79815,9.62192,0.9981,0.000946016,0.000946016,0.000946016
5,2997.15,1.02239,1.7169,1.24107,0.77028,0.70867,0.78401,0.62073,0.70017,5.68247,0.96379,0.000891022,0.000891022,0.000891022
6,3604.03,0.89985,1.39924,1.15927,0.80281,0.71998,0.8322,0.59893,0.76981,8.35923,1.04712,0.000836027,0.000836027,0.000836027
7,4207.3,0.86339,1.25304,1.14942,0.86576,0.8321,0.89002,0.73349,0.57795,2.93188,0.86486,0.000781033,0.000781033,0.000781033
8,59937.5,0.80865,1.13716,1.1113,0.89617,0.83149,0.90439,0.74958,0.6065,2.73792,0.89397,0.000726038,0.000726038,0.000726038
9,60515,0.77408,1.06199,1.09572,0.88248,0.87976,0.91452,0.75497,0.56319,2.59522,0.84931,0.000671044,0.000671044,0.000671044
10,71062.5,0.7328,0.9371,1.06313,0.865,0.84494,0.89008,0.76415,0.53136,2.49529,0.86102,0.000616049,0.000616049,0.000616049
11,71641.4,0.64842,0.89989,1.01023,0.91569,0.81768,0.89076,0.74534,0.57337,2.34282,0.87832,0.000561055,0.000561055,0.000561055
12,72205.8,0.64632,0.83978,0.99488,0.94309,0.91404,0.94125,0.80542,0.55238,1.96476,0.90212,0.00050606,0.00050606,0.00050606
13,72764.7,0.64296,0.78425,1.00858,0.94421,0.91009,0.93252,0.82797,0.53437,1.42718,0.95124,0.000451066,0.000451066,0.000451066
14,74649.3,0.58389,0.66344,0.97282,0.93669,0.91563,0.94699,0.82829,0.52579,1.27738,0.92357,0.000396071,0.000396071,0.000396071
15,75210.5,0.56842,0.63153,0.95081,0.97253,0.88987,0.94881,0.8384,0.49859,1.1841,0.8375,0.000341077,0.000341077,0.000341077
16,75769.8,0.52217,0.57589,0.92856,0.94576,0.91916,0.95269,0.84487,0.44209,1.10497,0.80157,0.000286083,0.000286083,0.000286083
17,76329.1,0.51796,0.5413,0.93131,0.96871,0.9087,0.94686,0.8511,0.53076,1.13577,0.90229,0.000231088,0.000231088,0.000231088
18,76892.5,0.48949,0.51115,0.90174,0.95151,0.92803,0.96058,0.87993,0.45941,1.0832,0.89551,0.000176094,0.000176094,0.000176094
19,77447.9,0.4677,0.47711,0.90564,0.97496,0.91689,0.96355,0.88156,0.38345,0.85326,0.79194,0.000121099,0.000121099,0.000121099
20,78005.3,0.4416,0.46552,0.89404,0.96578,0.92866,0.9642,0.89172,0.37255,0.75485,0.77977,6.61045e-05,6.61045e-05,6.61045e-05
